GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
122,RUBIES-EGS-948917,,6.7294493,21,rubies-egs62-v3_g395m-f290lp_4233_948917.spec.fits,948917,214.8924789,52.8568903,G395M,F290LP,948.278,3,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,168,rubies-egs62-v3,1203,1,2.8811429,4.930267,3.8716094,-0.3906555,-0.05274493,0.086872056,0.95372516,0.12371639,0.13421252,2.464228,0.4799895,0.2776137,886,583,1163,29,0.0,229.16206,0.0,0.001,0.25014615,1716484153.528,0.8.4,2844.834
122,RUBIES-EGS-948917,,6.7294493,21,rubies-egs62-xoff-v3_g395m-f290lp_4233_948917.spec.fits,948917,214.8924789,52.8568903,G395M,F290LP,948.278,3,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,168,rubies-egs62-xoff-v3,1204,1,2.8811429,4.9319715,3.8716094,-0.44706437,-0.056438606,0.08589653,0.9606891,0.12900472,0.13650039,2.545836,0.46353096,0.28730002,886,583,1163,29,0.0,229.16206,0.0,0.001,0.25148878,1726216582.256,0.8.6.dev18+gc61ccae,2844.834
122,RUBIES-EGS-948917,,6.7294493,21,rubies-egs62-nod-v3_g395m-f290lp_4233_948917.spec.fits,948917,214.8924789,52.8568903,G395M,F290LP,948.278,3,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,168,rubies-egs62-nod-v3,1203,1,2.8811429,4.930267,3.8716094,-0.37087375,-0.054589782,0.09371978,0.9480489,0.1372866,0.1427432,2.4707313,0.51070935,0.2891729,886,583,1163,29,0.0,229.16206,0.0,0.0009999999,0.36107385,1721495285.973,0.8.6.dev18+gc61ccae,2844.834
122,3567-EGS-41318,,6.7294493,21,valentino-egs-v3_g235m-f170lp_3567_41318.spec.fits,41318,214.89247921596,52.85689091242,G235M,F170LP,2830.245,4,jw03567007001_03101_00002_nrs2,jw03567007001_01_msa.fits,1,1,1,110,valentino-egs-v3,1272,1,1.7003809,3.150057,2.0749142,-1.1383562,-0.22813517,0.12204889,0.26335102,0.052122623,0.18254328,1.7370304,0.31495053,0.28976354,1,366,843,26,0.0,220.94113,0.0,-0.0009999999,0.92135906,1716479176.982,0.8.4,11320.98
122,4106-EGS-47962,,6.7294493,21,egs-nelsonx-v3_g395m-f290lp_4106_47962.spec.fits,47962,214.89247923152962,52.856891201371695,G395M,F290LP,1313.0,3,jw04106006001_03101_00002_nrs1,jw04106006001_01_msa.fits,1,1,1,143,egs-nelsonx-v3,1362,1,2.8794382,5.199619,3.8716094,-0.5323796,-0.059529163,0.07716141,1.2350354,0.1504019,0.11576059,3.3461957,0.59996027,0.2875861,454,117,1354,33,0.0,245.07878,0.0,-0.001,0.471281,1716564167.818,0.8.5.dev7+g25edcb0,3939.0
126,4106-EGS-50294,,6.0130343,6,egs-nelsonx-v3_g395m-f290lp_4106_50294.spec.fits,50294,214.8993302919987,52.86718504547897,G395M,F290LP,1313.0,3,jw04106006001_03101_00002_nrs1,jw04106006001_01_msa.fits,1,1,1,141,egs-nelsonx-v3,1362,1,2.8794382,5.199619,3.5119047,-1.3189979,-0.13922298,0.05546891,0.2736091,0.023356857,0.08532654,2.0036752,0.21686612,0.21448734,484,501,1354,33,0.0,245.07878,0.0,0.0009999996,0.27286193,1716564091.33,0.8.5.dev7+g25edcb0,3939.0
132,RUBIES-EGS-42232,,4.953648,33,rubies-egs62-nod-v3_g395m-f290lp_4233_42232.spec.fits,42232,214.88679215799,52.85538052649,G395M,F290LP,948.278,6,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,151,rubies-egs62-nod-v3,1197,1,2.8811429,5.199619,3.9057047,-0.062829755,-0.018657725,0.116257764,1.3392493,0.23044504,0.17512792,2.9767897,0.59581065,0.37151214,995,513,1054,28,0.0,229.16206,0.0,-0.001,0.2504531,1721494881.48,0.8.6.dev18+gc61ccae,5689.668
132,RUBIES-EGS-42232,,4.953648,33,rubies-egs62-v3_g395m-f290lp_4233_42232.spec.fits,42232,214.88679215799,52.85538052649,G395M,F290LP,948.278,6,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,151,rubies-egs62-v3,1197,1,2.8811429,5.199619,3.9057047,-0.0638274,-0.019542009,0.114953496,1.325803,0.228491,0.17381534,2.986931,0.5942513,0.36928704,995,513,1054,28,0.0,229.16206,0.0,-0.0009999999,0.24382383,1716483809.588,0.8.4,5689.668
132,4106-EGS-51623,,4.953648,33,egs-nelsonx-v3_g395m-f290lp_4106_51623.spec.fits,51623,214.88681836821235,52.85538915206524,G395M,F290LP,1313.0,3,jw04106006001_03101_00002_nrs1,jw04106006001_01_msa.fits,1,1,1,131,egs-nelsonx-v3,1361,1,2.8811429,5.199619,3.9074094,0.76469713,0.082831435,0.06675399,2.4344888,0.26941445,0.105840914,4.4676776,0.6466199,0.2494719,539,21,1353,32,0.0,245.07878,0.0,0.001,0.33227932,1716563884.493,0.8.5.dev7+g25edcb0,3939.0
132,RUBIES-EGS-42232,,4.953648,33,rubies-egs62-xoff-v3_g395m-f290lp_4233_42232.spec.fits,42232,214.88679215799,52.85538052649,G395M,F290LP,948.278,6,jw04233006002_05101_00002_nrs1,jw04233006002_02_msa.fits,224,2,1,151,rubies-egs62-xoff-v3,1198,1,2.8811429,5.201324,3.9091144,-0.094703816,-0.018936962,0.114921056,1.3483962,0.2441039,0.17547095,2.9290323,0.58912575,0.3725421,995,513,1054,28,0.0,229.16206,0.0,-0.0009999998,0.24417342,1726216747.254,0.8.6.dev18+gc61ccae,5689.668
