GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
114,JADES-GN-1054,UV G140 lines may be systematics,5.6816096,13,jades-gdn2-blue-v3_g140m-f100lp_1181_1054.spec.fits,1054,189.1574206,62.2736069,G140M,F100LP,1021.222,12,jw01181004001_18101_00001_nrs1,jw01181004001_04_msa.fits,515,4,1,593,jades-gdn2-blue-v3,1501,1,0.98,1.88,1.1702,-0.5962473,-0.051535595,0.04848061,1.1813486,0.08676864,0.07309407,3.0071783,0.26405215,0.13779575,877,642,1172,29,0.0,240.87894,0.0,0.0009999999,0.6116126,1727986706.474,0.8.6.dev18+gc61ccae,12254.664
114,JADES-GN-1054,UV G140 lines may be systematics,5.6816096,13,jades-gdn2-v3_g395m-f290lp_1181_1054.spec.fits,1054,189.1574206,62.2736069,G395M,F290LP,1021.222,9,jw01181007001_07101_00001_nrs1,jw01181007001_01_msa.fits,124,1,1,115,jades-gdn2-v3,1362,1,2.8794382,5.199619,3.3448381,-0.9996382,-0.091217086,0.051379167,0.8480718,0.06766653,0.078496866,2.6110735,0.27582753,0.20330553,549,1938,1362,36,0.0,240.84886,0.0,0.0009999999,0.577555,1716597784.321,0.8.5.dev7+g25edcb0,9190.998
114,JADES-GN-1054,UV G140 lines may be systematics,5.6816096,13,jades-gdn2-v3_g235m-f170lp_1181_1054.spec.fits,1054,189.1574206,62.2736069,G235M,F170LP,1021.222,9,jw01181007001_05101_00001_nrs1,jw01181007001_01_msa.fits,123,1,1,115,jades-gdn2-v3,1437,1,1.7003809,3.150057,2.6321714,-0.97101533,-0.07932904,0.059700135,0.7469957,0.060308065,0.07464351,2.616813,0.21441314,0.12420197,467,1952,1440,36,0.0,240.84883,0.0,0.001,0.577555,1716597791.845,0.8.5.dev7+g25edcb0,9190.998
114,JADES-GN-1054,UV G140 lines may be systematics,5.6816096,13,jades-gdn2-v3_g140m-f070lp_1181_1054.spec.fits,1054,189.1574206,62.2736069,G140M,F070LP,1021.222,9,jw01181004001_18101_00001_nrs1,jw01181004001_04_msa.fits,515,4,1,593,jades-gdn2-v3,934,1,0.7004,1.2602,1.1702,-0.8461445,-0.059673272,0.042295396,0.9828034,0.06010536,0.054761045,2.998055,0.189983,0.17553258,454,644,914,31,0.0,240.87894,0.0,0.001,0.577555,1716597802.239,0.8.5.dev7+g25edcb0,9190.998
282,JADES-GN-2000,,5.674257,13,jades-gdn2-v3_g140m-f070lp_1181_2000.spec.fits,2000,189.1759473,62.3115344,G140M,F070LP,1021.222,3,jw01181004001_18101_00001_nrs1,jw01181004001_04_msa.fits,515,4,1,575,jades-gdn2-v3,934,1,0.7004,1.2602,0.9212,-1.1459436,-0.21080647,0.10090881,0.83676565,0.12705912,0.14037101,2.6924329,0.4258279,0.4130975,670,1956,919,32,0.0,240.87894,0.0,0.001,0.9263362,1721482700.328,0.8.6.dev18+gc61ccae,3063.666
282,JADES-GN-2000,,5.674257,13,jades-gdn2-v3_g395m-f290lp_1181_2000.spec.fits,2000,189.1759473,62.3115344,G395M,F290LP,1021.222,6,jw01181004001_22101_00001_nrs1,jw01181004001_04_msa.fits,640,4,1,575,jades-gdn2-v3,1199,1,2.8794382,5.199619,3.3346095,-1.1796806,-0.21604037,0.09883115,0.84781253,0.12656236,0.13232124,2.7172105,0.44774044,0.44342765,1223,1942,826,27,0.0,240.87888,0.0,-0.001,0.9263362,1721482693.237,0.8.6.dev18+gc61ccae,6127.332
282,JADES-GN-2000,,5.674257,13,jades-gdn2-blue-v3_g140m-f100lp_1181_2000.spec.fits,2000,189.1759473,62.3115344,G140M,F100LP,1021.222,6,jw01181004001_18101_00001_nrs1,jw01181004001_04_msa.fits,515,4,1,575,jades-gdn2-blue-v3,1337,1,0.98,1.88,1.2392,-0.76255983,-0.13684858,0.11588606,0.97064155,0.15795442,0.15372556,2.8371809,0.48751387,0.29392517,1095,1955,954,28,0.0,240.87894,0.0,-0.001,1.0451245,1727985711.717,0.8.6.dev18+gc61ccae,6127.332
282,JADES-GN-2000,,5.674257,13,jades-gdn2-v3_g235m-f170lp_1181_2000.spec.fits,2000,189.1759473,62.3115344,G235M,F170LP,1021.222,6,jw01181004001_20101_00001_nrs1,jw01181004001_04_msa.fits,639,4,1,575,jades-gdn2-v3,1273,1,1.7003809,3.150057,2.0183809,-0.9116389,-0.14142081,0.10975689,0.83875847,0.12637356,0.13846079,2.6734734,0.42035967,0.2411017,1139,1955,910,28,0.0,240.87888,0.0,-0.001,0.9263362,1721482687.41,0.8.6.dev18+gc61ccae,6127.332
980,JADES-GN-38420,,6.731631,13,jades-gdn2-v3_g140m-f070lp_1181_38420.spec.fits,38420,189.17514,62.2822634,G140M,F070LP,1021.222,6,jw01181006001_04101_00001_nrs1,jw01181006001_01_msa.fits,1,1,1,61,jades-gdn2-v3,934,1,0.7004,1.2602,0.9404,-1.1249937,-0.12748033,0.05151001,0.8818398,0.063545085,0.067748785,2.81707,0.20368363,0.20022841,695,1466,917,31,0.0,240.9019,0.0,0.001,0.56609595,1716597537.819,0.8.5.dev7+g25edcb0,6127.332
980,JADES-GN-38420,,6.731631,13,jades-gdn2-v3_g395m-f290lp_1181_38420.spec.fits,38420,189.17514,62.2822634,G395M,F290LP,1021.222,12,jw01181006001_08101_00001_nrs1,jw01181006001_01_msa.fits,118,1,1,61,jades-gdn2-v3,1241,1,2.8794382,5.199619,3.8733144,-1.2936763,-0.14307787,0.052802965,0.57213205,0.044297628,0.07017547,2.5770457,0.26417848,0.2408002,1246,1452,803,27,0.0,240.9023,0.0,0.001,0.56609595,1716597544.134,0.8.5.dev7+g25edcb0,12254.664
