file,GroupID,root,grating,srcid,ra,dec,z_manual,observable_ArIII_3005,sn_ArIII_3005,observable_ArIV_2689,sn_ArIV_2689,observable_ArIV_2854,sn_ArIV_2854,observable_ArV_2691,sn_ArV_2691,observable_CIII_1906,sn_CIII_1906,observable_CIII_1908,sn_CIII_1908,observable_CIV_1549,sn_CIV_1549,observable_CIV_1551,sn_CIV_1551,observable_HeII_1640,sn_HeII_1640,observable_Lya_1215,sn_Lya_1215,observable_MgV_1325,sn_MgV_1325,observable_MgV_2783,sn_MgV_2783,observable_NIII_1750,sn_NIII_1750,observable_NII_3063,sn_NII_3063,observable_NIV_1483,sn_NIV_1483,observable_NIV_1487,sn_NIV_1487,observable_NeIII_1815,sn_NeIII_1815,observable_NeIV_1602,sn_NeIV_1602,observable_NeIV_2422,sn_NeIV_2422,observable_NeV_1575,sn_NeV_1575,observable_OIII_1660,sn_OIII_1660,observable_OIII_1665,sn_OIII_1665,observable_OIII_2321,sn_OIII_2321,observable_OII_2471,sn_OII_2471,observable_OI_2972,sn_OI_2972,observable_SiIII_1883,sn_SiIII_1883,observable_SiIII_1892,sn_SiIII_1892,observable_ArIV_4711,sn_ArIV_4711,observable_ArIV_4740,sn_ArIV_4740,observable_CII_4267,sn_CII_4267,observable_Hb_4861,sn_Hb_4861,observable_Hd_4103,sn_Hd_4103,observable_HeII_4687,sn_HeII_4687,observable_Hg_4342,sn_Hg_4342,observable_NII_5756,sn_NII_5756,observable_NI_3466,sn_NI_3466,observable_NI_5200,sn_NI_5200,observable_NeIII_3343,sn_NeIII_3343,observable_NeIII_3867,sn_NeIII_3867,observable_NeIII_3967,sn_NeIII_3967,observable_NeV_3426,sn_NeV_3426,observable_OIII_4363,sn_OIII_4363,observable_OIII_4959,sn_OIII_4959,observable_OIII_5007,sn_OIII_5007,observable_OII_3727,sn_OII_3727,observable_OII_3729,sn_OII_3729,observable_SIII_3722,sn_SIII_3722,observable_SII_4070,sn_SII_4070,observable_SII_4078,sn_SII_4078,observable_ArV_6134,sn_ArV_6134,observable_ArIII_7136,sn_ArIII_7136,observable_Ha_6565,sn_Ha_6565,observable_NII_6549,sn_NII_6549,observable_NII_6584,sn_NII_6584,observable_OII_7323,sn_OII_7323,observable_OII_7332,sn_OII_7332,observable_OI_6364,sn_OI_6364,observable_SIII_6314,sn_SIII_6314,observable_SIII_9531,sn_SIII_9531,observable_SII_6717,sn_SII_6717,observable_SII_6731,sn_SII_6731,PROG_ID
abell2744-glass-v3_g140h-f100lp_1324_160275.spec.fits,8092,abell2744-glass-v3,G140H,160275,3.581070512154712,-30.42829634899641,4.575998,1.0,0.1657649902926523,1.0,0.8563647857774304,1.0,0.4553973877508019,1.0,1.0471472311038792,1.0,5.873489815717088,1.0,9.418547883806392,,,,,,,,,,,1.0,1.416934050746467,,,1.0,-0.4014176760796215,,,,,1.0,1.759034951709165,,,1.0,-1.9250203823731271,,,,,,,1.0,-1.7309568260699817,1.0,1.6620138585725506,1.0,-1.7781110014896586,1.0,-1.2483314539206098,1.0,-1.371668687988307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-160275
abell2744-glass-v3_g140h-f100lp_1324_100003.spec.fits,10168,abell2744-glass-v3,G140H,100003,3.604508860258754,-30.38044388500077,7.8178897,,,,,,,,,,,,,1.0,-0.2962842361663088,1.0,-0.7312331324951428,1.0,2.2149726445697833,1.0,1.34451119441298,1.0,3.8007967489820222,,,1.0,-1.8721499984367291,,,1.0,0.6743938429341125,1.0,1.4223642420856748,1.0,2.001797303852406,1.0,-1.4715982827194765,,,1.0,-0.9699482695952096,1.0,-1.9805352085078065,1.0,2.323748250219843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-100003
abell2744-glass-v3_g140h-f100lp_1324_110000.spec.fits,10181,abell2744-glass-v3,G140H,110000,3.570642814540812,-30.41463804515445,5.7903795,,,,,,,,,1.0,-1.54550442118361,1.0,-1.871385652372692,1.0,0.6463742288540235,1.0,3.1135528862566666,,,,,,,,,1.0,1.796276293794797,,,1.0,-0.099257040092977,1.0,-1.5925500351255766,,,1.0,-4.349466370109899,1.0,0.7225285776958943,1.0,2.0324934991136487,,,,,1.0,-1.074954475683971,1.0,0.8163029401325305,,,1.0,-1.1125777926245664,1.0,-2.3225898263282625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-110000
abell2744-glass-v3_g140h-f100lp_1324_150008.spec.fits,10197,abell2744-glass-v3,G140H,150008,3.602529930022035,-30.41923238255771,6.2281814,,,,,,,,,1.0,6.251031403304054,1.0,4.014084377885804,,,,,1.0,3.670670922131688,,,,,,,1.0,4.960025111814182,,,1.0,-0.7082128534649323,1.0,1.807288569693862,1.0,-0.0060276597222394,1.0,-2.2522153042415645,,,1.0,1.3111172475982342,1.0,4.051400420835451,1.0,7.760989578670765,,,,,,,1.0,-0.2789552380145662,1.0,1.7877048090483114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-150008
abell2744-glass-v3_g140h-f100lp_1324_150029.spec.fits,10198,abell2744-glass-v3,G140H,150029,3.5771664,-30.42257599999999,4.584028,1.0,1.3342211172787022,1.0,1.3175664632610165,1.0,0.1183266295533231,1.0,-2.735574120368494,1.0,11.720443867073952,1.0,8.920589037157601,,,,,,,,,,,1.0,0.3951543134586313,,,1.0,-1.778460693518265,,,,,1.0,4.132405309360511,,,1.0,-0.4724686139623794,,,,,,,1.0,-0.5862737650839006,1.0,0.690781735924288,1.0,0.7511911304955058,1.0,0.5954881003702112,1.0,0.9632219307407464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-150029
abell2744-glass-v3_g140h-f100lp_1324_160122.spec.fits,10201,abell2744-glass-v3,G140H,160122,3.564901514481721,-30.42495682715219,5.3253098,,,1.0,2.6705302129642,,,1.0,6.422218907504744,1.0,1.5113202330162538,1.0,5.5544008342031255,,,1.0,-2.021527566069592,1.0,-2.0739440579528203,,,,,,,1.0,1.646317514715993,,,,,,,1.0,0.0597693812681483,1.0,2.0694877988083062,1.0,-0.6940324829998842,1.0,-0.062910599021423,1.0,1.1199116417457942,1.0,1.6227903998156628,1.0,-0.0458485914222888,1.0,-1.7104132929830325,,,1.0,2.196261594278106,1.0,1.9969167593179975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-160122
abell2744-glass-v3_g140h-f100lp_1324_70003.spec.fits,10312,abell2744-glass-v3,G140H,70003,3.5758461,-30.38929020000001,5.6070104,,,,,,,,,1.0,2.726440903474805,1.0,-1.8171260411507983,1.0,-0.8202653062552099,1.0,3.793106994930786,1.0,1.7301296098595491,,,,,,,1.0,2.6686900222845313,,,1.0,-0.857307168310188,1.0,-0.4299384370444634,1.0,1.6547482531159867,1.0,-5.140533942809107,1.0,0.000689526611646,1.0,-0.0025948223206186,1.0,-0.029480648401599,,,1.0,1.030910164858105,1.0,0.0605805539534782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-70003
abell2744-glass-v3_g140h-f100lp_1324_80070.spec.fits,10321,abell2744-glass-v3,G140H,80070,3.582321113256858,-30.3876546896268,4.794125,,,1.0,-0.4155358367636163,1.0,-1.2772029541512622,1.0,-2.282749423838256,1.0,4.376339462660059,1.0,6.587743863664634,,,,,,,,,,,1.0,1.0009026333434627,1.0,-0.9016700490379008,,,,,,,1.0,-0.6992942392204015,,,1.0,-1.0557272381594462,,,,,,,1.0,1.079694762165092,1.0,-3.276017408183428,1.0,0.6566630987572774,1.0,2.2090256342018972,1.0,1.8673556624414445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-ABELL2744-80070
jades-gdn2-v3_g140m-f070lp_1181_1023.spec.fits,40,jades-gdn2-v3,G140M,1023,189.0825401,62.2693245,4.007775,,,,,,,,,1.0,-1.595150584807618,1.0,-1.357760256615368,,,,,,,,,,,,,1.0,0.7823146015225529,,,1.0,-1.3776444891325037,1.0,0.1752738711619089,1.0,-2.211447487116788,,,1.0,-0.2338372449316693,,,,,,,1.0,0.1515107378993242,1.0,-0.8442744224907313,,,1.0,-0.8219572102151715,1.0,-1.3676592670806962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1023
jades-gdn2-blue-v3_g140m-f100lp_1181_1026.spec.fits,80,jades-gdn2-blue-v3,G140M,1026,189.053183,62.2695564,4.334306,1.0,-0.3460040579698972,1.0,0.2699972234468449,1.0,1.8196692239037833,1.0,-0.7490816776640694,1.0,0.3430002739785634,1.0,0.778630365960804,,,,,,,,,,,1.0,1.5015512852479842,,,1.0,1.5275196366939727,,,,,,,,,,,,,,,,,1.0,-1.6421225088347489,,,1.0,-0.6321281965783975,1.0,-0.6024142170354251,1.0,-0.1459752737280392,,,,,,,,,,,,,,,,,1.0,1.165967588801971,,,1.0,-0.7547174127021687,,,,,1.0,1.6384420022525492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1026
